"year","score"
0,1
1,0.88553
2,0.789482
3,0.703432
4,0.624954
5,0.552924
6,0.486662
7,0.42883
8,0.377754
9,0.332676
10,0.291856
11,0.256098
12,0.22399
13,0.19583
14,0.170926
15,0.148464
16,0.148464
17,0.128022
18,0.110278
19,0.094652
20,0.082038
21,0.07028
22,0.059804
23,0.051158
24,0.043458
25,0.036838
26,0.03093
27,0.02598
28,0.018332
29,0.015084
30,0.012418
31,0.010296
32,0.008336
33,0.006774
34,0.005452
35,0.004322
36,0.003428
37,0.00266
38,0.002164
39,0.00184
40,0.001526
